condition,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,Glioblast,MC,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
CHIR-d6-11,0.0,0.07692307692307693,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.34615384615384615,0.554945054945055,0.0,0.0,0.0
CHIR-d11-16,0.0,0.14514692787177205,0.0,0.020480854853072127,0.05075690115761353,0.0,0.0,0.0,0.0,0.3143365983971505,0.4692787177203918,0.0,0.0,0.0
CHIR-d16-21,0.0,0.0017964071856287425,0.031137724550898204,0.29281437125748505,0.6173652694610778,0.0017964071856287425,0.0,0.0,0.0,0.024550898203592814,0.026347305389221556,0.003592814371257485,0.0005988023952095808,0.0
DAPT,0.0,0.006644518272425249,0.06201550387596899,0.4407530454042082,0.4496124031007752,0.0022148394241417496,0.0,0.0,0.0,0.009966777408637873,0.02768549280177187,0.0,0.0011074197120708748,0.0
FGF2-20,0.0,0.06602254428341385,0.008051529790660225,0.20531400966183574,0.09259259259259259,0.001610305958132045,0.0,0.0,0.0,0.2785829307568438,0.34782608695652173,0.0,0.0,0.0
FGF2-50,0.0,0.008754863813229572,0.0,0.01264591439688716,0.005836575875486381,0.0,0.0,0.0,0.0009727626459143969,0.24221789883268482,0.7285992217898832,0.0,0.0009727626459143969,0.0
FGF4,0.0,0.004048582995951417,0.03319838056680162,0.3724696356275304,0.5319838056680162,0.0024291497975708503,0.0,0.0,0.0,0.03319838056680162,0.022672064777327937,0.0,0.0,0.0
FGF8,0.0,0.00423728813559322,0.02754237288135593,0.4099576271186441,0.538135593220339,0.0,0.0,0.0,0.0,0.012711864406779662,0.006355932203389831,0.001059322033898305,0.0,0.0
FGF-20/EGF,0.0,0.024154589371980676,0.004830917874396135,0.10869565217391304,0.06280193236714976,0.0,0.0024154589371980675,0.0,0.004830917874396135,0.2898550724637681,0.5024154589371981,0.0,0.0,0.0
I/Activin/DAPT/SR11,0.0,0.0,0.004919184820801124,0.1602248770203795,0.6205200281096276,0.04427266338721012,0.0007027406886858749,0.0,0.0,0.02178496134926212,0.11876317638791287,0.017568517217146872,0.004919184820801124,0.006324666198172874
IWP2,0.0,0.0,0.03613053613053613,0.27855477855477856,0.6526806526806527,0.002331002331002331,0.0,0.0,0.0,0.005827505827505828,0.018648018648018648,0.005827505827505828,0.0,0.0
IWP2 switch CHIR,0.0,0.005385996409335727,0.02154398563734291,0.2585278276481149,0.651705565529623,0.005385996409335727,0.0,0.0,0.0,0.03052064631956912,0.026929982046678635,0.0,0.0,0.0
IWP2-SAG,0.009298393913778529,0.0,0.0,0.0,0.0084530853761623,0.011834319526627219,0.0253592561284869,0.0,0.0016906170752324597,0.07776838546069316,0.41081994928148774,0.4530853761622992,0.0,0.0016906170752324597
LDN,0.0,0.0,0.02750809061488673,0.23300970873786409,0.7103559870550162,0.0,0.0,0.0,0.0008090614886731392,0.00889967637540453,0.01699029126213592,0.0008090614886731392,0.0008090614886731392,0.0008090614886731392
RA10,0.0274869109947644,0.0,0.0,0.0013089005235602095,0.011780104712041885,0.06413612565445026,0.032722513089005235,0.0,0.010471204188481676,0.17408376963350786,0.2526178010471204,0.4083769633507853,0.003926701570680628,0.013089005235602094
RA100,0.021052631578947368,0.0,0.0,0.0,0.015789473684210527,0.06315789473684211,0.015789473684210527,0.0,0.0,0.21578947368421053,0.3526315789473684,0.30526315789473685,0.010526315789473684,0.0
S/I/E/FGF2,0.0,0.019178082191780823,0.0,0.00821917808219178,0.024657534246575342,0.0027397260273972603,0.005479452054794521,0.0,0.0136986301369863,0.1780821917808219,0.5452054794520548,0.03287671232876712,0.06027397260273973,0.1095890410958904
SAG250,0.004651162790697674,0.0,0.0,0.0,0.00813953488372093,0.010465116279069767,0.031395348837209305,0.0,0.0011627906976744186,0.12093023255813953,0.45,0.37209302325581395,0.0,0.0011627906976744186
SAG1000,0.010434782608695653,0.0,0.0,0.0,0.019130434782608695,0.010434782608695653,0.017391304347826087,0.0,0.0017391304347826088,0.1391304347826087,0.46956521739130436,0.33043478260869563,0.0,0.0017391304347826088
SAG-CHIR-d16-21,0.0,0.0,0.0,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.0,0.0,0.0,0.11475409836065574,0.8770491803278688,0.0,0.0,0.001639344262295082
SAG-CHIRd10-21,0.016304347826086956,0.0,0.0,0.0,0.01358695652173913,0.008152173913043478,0.029891304347826088,0.0,0.0,0.13043478260869565,0.40217391304347827,0.39945652173913043,0.0,0.0
SAG-d6-11,0.00872093023255814,0.0009689922480620155,0.0,0.0,0.007751937984496124,0.009689922480620155,0.040697674418604654,0.0,0.006782945736434108,0.24224806201550386,0.5213178294573644,0.1618217054263566,0.0,0.0
SAG-d11-16,0.0,0.0,0.0,0.004341534008683068,0.02170767004341534,0.004341534008683068,0.0,0.0,0.0,0.1287988422575977,0.743849493487699,0.08683068017366136,0.001447178002894356,0.008683068017366137
SAG-d16-21,0.006535947712418301,0.0,0.0,0.029411764705882353,0.16013071895424835,0.013071895424836602,0.0032679738562091504,0.0,0.0,0.09477124183006536,0.477124183006536,0.20588235294117646,0.0,0.00980392156862745
