condition,confidence,n_nonzero_morphogens,fidelity
virtual_00340,0.01,7,0.0
virtual_00341,0.07811914065461732,7,0.0
virtual_00342,0.01,7,0.0
virtual_00343,0.07988292616173322,7,0.0
virtual_00344,0.030073875874543774,5,0.0
virtual_00345,0.014665003694946324,7,0.0
virtual_00346,0.01,5,0.0
virtual_00347,0.023493476385643374,7,0.0
virtual_00348,0.01,8,0.0
virtual_00349,0.01,9,0.0
virtual_00350,0.026722079954409186,7,0.0
virtual_00351,0.016280096769210276,7,0.0
virtual_00352,0.01,7,0.0
virtual_00353,0.015956167739501096,4,0.0
virtual_00354,0.028305902527125688,6,0.0
virtual_00355,0.01825447339252766,6,0.0
virtual_00356,0.01,8,0.0
virtual_00357,0.01,5,0.0
virtual_00358,0.02988282494740497,4,0.0
virtual_00359,0.01,8,0.0
virtual_00360,0.01,6,0.0
virtual_00361,0.01,8,0.0
virtual_00362,0.07768249440503751,7,0.0
virtual_00363,0.09865785918840497,6,0.0
virtual_00364,0.2875021391719378,3,0.0
virtual_00365,0.06811362535621282,5,0.0
virtual_00366,0.015419996689465471,6,0.0
virtual_00367,0.03765520058541388,5,0.0
virtual_00368,0.010691112791244793,7,0.0
virtual_00369,0.01,5,0.0
virtual_00370,0.01,8,0.0
virtual_00371,0.010796821866198328,7,0.0
virtual_00372,0.06311234891060225,6,0.0
virtual_00373,0.032071065251199016,7,0.0
virtual_00374,0.02226897771164289,7,0.0
virtual_00375,0.1360970599181672,6,0.0
virtual_00376,0.01,6,0.0
virtual_00377,0.08707151309327049,5,0.0
virtual_00378,0.01,7,0.0
virtual_00379,0.011437524123466993,8,0.0
virtual_00380,0.016818661690754175,7,0.0
virtual_00381,0.01,5,0.0
virtual_00382,0.024010262331138343,7,0.0
virtual_00383,0.012022124213206043,6,0.0
virtual_00384,0.01,8,0.0
virtual_00385,0.01984925959927068,9,0.0
virtual_00386,0.01,6,0.0
virtual_00387,0.22545657947251896,5,0.0
virtual_00388,0.01,5,0.0
virtual_00389,0.028460677139481694,8,0.0
virtual_00390,0.01,7,0.0
virtual_00391,0.01,6,0.0
virtual_00392,0.01,8,0.0
virtual_00393,0.01,5,0.0
virtual_00394,0.01,8,0.0
virtual_00395,0.09703390692864537,5,0.0
virtual_00396,0.0666814526010967,8,0.0
virtual_00397,0.07760549984172645,7,0.0
virtual_00398,0.05680977053062151,8,0.0
virtual_00399,0.07821228775231151,4,0.0
virtual_00400,0.08133838245990706,7,0.0
virtual_00401,0.01,9,0.0
virtual_00402,0.01,8,0.0
virtual_00403,0.027566530006965823,7,0.0
virtual_00404,0.019703849291204237,5,0.0
virtual_00405,0.01,7,0.0
virtual_00406,0.07707403861637108,8,0.0
virtual_00407,0.09199765176098974,6,0.0
virtual_00408,0.01932735912396374,8,0.0
virtual_00409,0.01,9,0.0
virtual_00410,0.01,7,0.0
virtual_00411,0.01,5,0.0
virtual_00412,0.033557191737597594,8,0.0
virtual_00413,0.01,8,0.0
virtual_00414,0.01,8,0.0
virtual_00415,0.01,6,0.0
virtual_00416,0.01758272604185346,5,0.0
virtual_00417,0.05688514383761861,6,0.0
virtual_00418,0.01,5,0.0
virtual_00419,0.01,6,0.0
virtual_00420,0.01,4,0.0
virtual_00421,0.026818067996345875,6,0.0
virtual_00422,0.01609212412720104,8,0.0
virtual_00423,0.017931786382317984,4,0.0
virtual_00424,0.01,6,0.0
virtual_00425,0.01,6,0.0
virtual_00426,0.010657136988195948,5,0.0
virtual_00427,0.01,7,0.0
virtual_00428,0.09153616777571053,7,0.0
virtual_00429,0.01,6,0.0
virtual_00430,0.012968034546461452,7,0.0
virtual_00431,0.03321560857419692,8,0.0
virtual_00432,0.04435478319328658,7,0.0
virtual_00433,0.01,8,0.0
virtual_00434,0.01,6,0.0
virtual_00435,0.01,9,0.0
virtual_00436,0.05179822346950722,6,0.0
virtual_00437,0.1299168246272576,7,0.0
virtual_00438,0.011514007520221532,8,0.0
virtual_00439,0.048996848452355767,6,0.0
virtual_00440,0.05908076906945546,6,0.0
virtual_00441,0.03448750303282046,7,0.0
virtual_00442,0.041403307421514,8,0.0
virtual_00443,0.01,6,0.0
virtual_00444,0.01443876025695321,8,0.0
virtual_00445,0.09213790796426297,6,0.0
virtual_00446,0.01,8,0.0
virtual_00447,0.01,8,0.0
virtual_00448,0.01,7,0.0
virtual_00449,0.014993245618291217,5,0.0
virtual_00450,0.01,8,0.0
virtual_00451,0.025617755421173546,5,0.0
virtual_00452,0.01,6,0.0
virtual_00453,0.01,7,0.0
virtual_00454,0.16451042533328614,5,0.0
virtual_00455,0.13546847212313415,6,0.0
virtual_00456,0.18168878294386256,5,0.0
virtual_00457,0.01568437865368603,6,0.0
virtual_00458,0.02509959457660016,6,0.0
virtual_00459,0.01,6,0.0
virtual_00460,0.01,7,0.0
virtual_00461,0.01,8,0.0
virtual_00462,0.032190403758172656,5,0.0
virtual_00463,0.01,5,0.0
virtual_00464,0.01,9,0.0
virtual_00465,0.01,7,0.0
virtual_00466,0.01511041971849608,6,0.0
virtual_00467,0.01,8,0.0
virtual_00468,0.01370738572835132,7,0.0
virtual_00469,0.011826534182340231,5,0.0
virtual_00470,0.013651062995439658,5,0.0
virtual_00471,0.01,8,0.0
virtual_00472,0.08635990453503259,3,0.0
virtual_00473,0.01,7,0.0
virtual_00474,0.014525963987752813,7,0.0
virtual_00475,0.08463007172571871,7,0.0
virtual_00476,0.01,7,0.0
virtual_00477,0.0744600699764517,6,0.0
virtual_00478,0.010266065651837087,8,0.0
virtual_00479,0.07459585452105572,7,0.0
virtual_00480,0.01,6,0.0
virtual_00481,0.020359531429163726,7,0.0
virtual_00482,0.0218059932195834,8,0.0
virtual_00483,0.01,8,0.0
virtual_00484,0.01135133852091577,7,0.0
virtual_00485,0.07952217634032785,6,0.0
virtual_00486,0.02241967504261222,8,0.0
virtual_00487,0.01,8,0.0
